0|Buducnost|1|2|1.00
0|Breidablik|1|3|1.50
1|Buducnost|0|0|0
1|Breidablik|0|0|0
2|Martinique|0|0|0.00
2|Panama|3|9|2.25
3|Martinique|0|0|0
3|Panama|0|0|0
4|El Salvador|2|13|0.76
4|Costa Rica|10|26|1.53
5|Congo M23|0|0|0
5|Morocco M23|0|0|0
6|Congo M23|0|0|0
6|Morocco M23|0|0|0
7|Guinea M23|0|0|0
7|Ghana M23|0|0|0
8|Platense|0|0|0
8|Lanus|0|0|0
9|Atletico Tucuman|0|0|0
9|Union Santa Fe|0|0|0
10|Velez|0|0|0
10|Arsenal de Sarandi|0|0|0
11|Urquiza W|0|0|0
11|Boca Juniors W|0|0|0
12|Atl.Guemes|0|0|0
12|San Martin|0|0|0
13|Gimnasia J|4|15|1.00
13|Quilmes|7|20|1.33
14|Ferro Oeste|5|15|1.36
14|Ca Brown|2|14|1.27
15|Comunicaciones A.|0|0|0
15|Dep.Armenio|0|0|0
16|Adelaide City|1|6|1.20
16|Modbury|1|7|1.40
17|Comets|0|0|0
17|Croydon|0|0|0
18|South Adelaide|2|9|1.29
18|Beograd|3|11|1.57
19|West Adelaide|2|11|0.85
19|Campbelltown|4|17|1.31
20|Cooma Tigers|0|0|0
20|Tuggeranong United|0|0|0
21|O'Connor Knights|3|13|3.25
21|West Canberra|1|5|1.25
22|South Coast Wolves|0|3|3.00
22|St.George City|1|5|5.00
23|Sydney M21|3|19|1.58
23|Sydney United|9|33|2.75
24|Bulls Academy|1|8|1.33
24|APIA Leichhardt|1|7|1.17
25|Adamstown Rosebud|4|21|1.11
25|Newcastle Olympic |11|41|2.16
26|Lambton Jaffas|0|0|0
26|Lake Macquarie|0|0|0
27|Cooks Hill United|0|4|1.33
27|Charlestown|1|5|1.67
28|Glenorchy Knights|9|43|2.39
28|Kingborough Lions|9|42|2.33
29|Riverside Olympic|1|2|2.00
29|Launceston United|0|1|1.00
30|Devonport|16|42|1.56
30|South Hobart|10|47|1.74
31|Melbourne Knights|2|16|1.00
31|Avondale H.|9|37|2.31
32|St.Albans Saints|0|4|0.50
32|Bentleigh|4|13|1.63
33|Green Gully|3|16|3.20
33|Geelong|2|9|1.80
34|Energetik BGU|3|20|1.82
34|Minsk Isloch|4|18|1.64
35|Sh.Soligorsk|15|38|1.81
35|Slutsk|3|12|0.57
36|Sh.Soligorsk|0|0|0
36|Slutsk|0|0|0
37|Royal Pari|3|18|1.29
37|Wilstermann |8|25|1.79
38|Oeste|0|2|1.00
38|Primavera EC|1|3|1.50
39|Tombense|1|4|2.00
39|Chapecoense|1|4|2.00
40|Enppi|1|1|0.33
40|Pharco|2|2|0.67
41|Al Moqawloon|7|26|1.63
41|El Daklyeh|4|20|1.25
42|El Geish|1|5|1.00
42|Ceramica Cleopatra|1|5|1.00
43|Parnu Vaprus|1|21|1.24
43|Paide|11|42|2.47
44|Parnu Vaprus|0|0|0
44|Paide|0|0|0
45|Adama City|0|0|0
45|Et.Insurance|0|0|0
46|Mebrat Hail|0|1|1.00
46|Fasil Kenema|1|2|2.00
47|NSI Runavik|1|2|2.00
47|B36 Torshavn II|0|0|0.00
48|PKKU|0|0|0
48|Atlantis II|0|0|0
49|PPJ Helsinki|0|0|0
49|PK-35|0|0|0
